domain,source,list-type
notiziepericolose.blogspot.it,butac.net,blacklist
www.ilmattoquotidiano.it,butac.net,blacklist
www.ilmessaggio.it,butac.net,blacklist
www.ilfattoquotidaino.it,butac.net,blacklist
ilquotidaino.wordpress.com,butac.net,blacklist
www.liberogiornale.com,butac.net,blacklist
notiziariosegreto.wordpress.com,butac.net,blacklist
secretnews.fr,butac.net,blacklist
superbamente.com,butac.net,blacklist
worldnewsdailyreport.com,butac.net,blacklist
www.fonteverificata.it,butac.net,blacklist
www.dionidream.com,butac.net,blacklist
lastella.altervista.org,butac.net,blacklist
www.segnidalcielo.it,butac.net,blacklist
pianetablunews.wordpress.com,butac.net,blacklist
saltoquantico.org,butac.net,blacklist
autismovaccini.org,butac.net,blacklist
www.jedanews.it,butac.net,blacklist
www.naturalnews.com,butac.net,blacklist
www.notiziespericolate.com,butac.net,blacklist
viaggialowcost.altervista.org,butac.net,blacklist
sadefenza.blogspot.com,butac.net,blacklist
www.renovatio21.com,butac.net,blacklist
devinformarti.blogspot.it,butac.net,blacklist
www.imolaoggi.it,butac.net,blacklist
scenarieconomici.it,butac.net,blacklist
voxnews.info,butac.net,blacklist
www.informarexresistere.fr,butac.net,blacklist
www.breaknotizie.com,butac.net,blacklist
www.direttanews24.com,butac.net,blacklist
www.fascinazione.info,butac.net,blacklist
tg5stelle.it,butac.net,blacklist
blogopenyoureyes.altervista.org,butac.net,blacklist
ilbazarinformazione.blogspot.it,butac.net,blacklist
informare.over-blog.it,butac.net,blacklist
notizieinmovimentonews.blogspot.it,butac.net,blacklist
www.tg24-ore.com,butac.net,blacklist
informaresenzacensure.blogspot.com,butac.net,blacklist
www.byoblu.com,butac.net,blacklist
www.mag24.es,butac.net,blacklist
www.iocritico.com,butac.net,blacklist
www.sostenitori.info,butac.net,blacklist
irresponsabile.com,butac.net,blacklist
aidaa-animaliambiente.blogspot.it,butac.net,blacklist
thuglifevideos.com,butac.net,blacklist
yournewswire.com,butac.net,blacklist
www.maurizioblondet.it,butac.net,blacklist
www.essere-informati.it,butac.net,blacklist
www.tgnewsitalia.it,butac.net,blacklist
www.nocensura.com,butac.net,blacklist
tuttiicriminidegliimmigrati.com,butac.net,blacklist
www.vnews24.it,butac.net,blacklist
www.direttanews.it,butac.net,blacklist
informatitalia.blogspot.it,butac.net,blacklist
www.internapoli.it,butac.net,blacklist
newscronaca.it,butac.net,blacklist
www.perdavvero.com,butac.net,blacklist
socialbuzz.it,butac.net,blacklist
direttanfo.blogspot.it,butac.net,blacklist
www.worldnotix.net,butac.net,blacklist
sulatestagiannilannes.blogspot.it,butac.net,blacklist
www.tmcrew.org,butac.net,blacklist
www.tanker-enemy.com,butac.net,blacklist
www.tankerenemy.com,butac.net,blacklist
sapereeundovere.com,butac.net,blacklist
www.luogocomune.net,butac.net,blacklist
www.disinformazione.it,butac.net,blacklist
www.centrometeoitaliano.it,butac.net,blacklist
www.signoraggio.it,butac.net,blacklist
albainternazionale.blogspot.it,butac.net,blacklist
www.lercio.it,butac.net (satire),blacklist
chiaveorgonica.altervista.org (satire),butac.net,blacklist
bitchute.com,bufale.net,blacklist
databaseitalia.it,bufale.net,blacklist
mariagrazias.com,bufale.net,blacklist
musicaeanima.com,bufale.net,blacklist
neovitruvian.com,bufale.net,blacklist
summit.news,bufale.net,blacklist
thelivingspirits.net,bufale.net,blacklist
vigilantcitizen.com,bufale.net,blacklist
zerohedge.com,bufale.net,blacklist
accademiadellaliberta.blogspot.com,bufale.net,blacklist
www.apriregliocchi.altervista.org,bufale.net,blacklist
www.beatricesilenzi.it,bufale.net,blacklist
dentrolanotizia-robymaster.jimdofree.com,bufale.net,blacklist
igienistamentale.com,bufale.net,blacklist
www.informaltv.it,bufale.net,blacklist
www.lafinanzasulweb.it,bufale.net,blacklist
www.oltre.tv,bufale.net,blacklist
peertube.it,bufale.net,blacklist
www.segnidalcielo.it,bufale.net,blacklist
rinascimentoitalia.it,bufale.net,blacklist
www.tankerenemy.com,bufale.net,blacklist
www.tanker-enemy.eu,bufale.net,blacklist
www.dailymotion.com,bufale.net,blacklist
visionetv.it,bufale.net,blacklist
aprilamente.myblog.it,bufale.net,blacklist
dionidream.com,bufale.net,blacklist
disquisendo.wordpress.com,bufale.net,blacklist
www.ecologiasociale.info,bufale.net,blacklist
www.ilmeteo.it,bufale.net,blacklist
www.meteoweb.eu,bufale.net,blacklist
www.nexusedizioni.it,bufale.net,blacklist
www.nogeoingegneria.com,bufale.net,blacklist
www.pianetablunews.it,bufale.net,blacklist
www.ricercaindipendente.net,bufale.net,blacklist
www.saltoquantico.net,bufale.net,blacklist
saltoquantico.org,bufale.net,blacklist
alfredolio.wordpress.com,bufale.net,blacklist
www.centrometeoitaliano.it,bufale.net,blacklist
siamonapoletani.org,bufale.net,blacklist
videoenotizie.it,bufale.net,blacklist
www.videoscoop.info,bufale.net,blacklist
www.viralmagazine.it,bufale.net,blacklist
www.ilfattoquotidaino.it,bufale.net,blacklist
ilmassaggero.altervista.org,bufale.net,blacklist
www.lanozione.com,bufale.net,blacklist
accademiadellaliberta.blogspot.it,bufale.net,blacklist
alcyonpleiadi.blogspot.it,bufale.net,blacklist
altrarealta.blogspot.it,bufale.net,blacklist
appunti2008.blogspot.it,bufale.net,blacklist
aurorasito.wordpress.com,bufale.net,blacklist
compressamente.blogspot.it,bufale.net,blacklist
controinformoblog.altervista.org,bufale.net,blacklist
cortesovrana.it,bufale.net,blacklist
delta-leveritanascoste.blogspot.it,bufale.net,blacklist
freeondarevolution.blogspot.it,bufale.net,blacklist
ilnuovomondodanielereale.blogspot.it,bufale.net,blacklist
ilsapereepotere.blogspot.it,bufale.net,blacklist
ilsapereepotere2.blogspot.com,bufale.net,blacklist
jhwhinri.blogspot.it,bufale.net,blacklist
laveritadininconaco.altervista.org,bufale.net,blacklist
madreterra.myblog.it,bufale.net,blacklist
mondonews1.blogspot.it,bufale.net,blacklist
neovitruvian.wordpress.com,bufale.net,blacklist
notiziedalpopolo.altervista.org,bufale.net,blacklist
nwonuovoordinemondiale.wordpress.com,bufale.net,blacklist
olivieromannucci.blogspot.it,bufale.net,blacklist
paoloferrarocdd.blogspot.it,bufale.net,blacklist
pianetax.wordpress.com,bufale.net,blacklist
presadicoscienza.altervista.org,bufale.net,blacklist
questaitalia.wordpress.com,bufale.net,blacklist
raggioindaco.wordpress.com,bufale.net,blacklist
sitoaurora.wordpress.com,bufale.net,blacklist
terrarealtime.blogspot.com,bufale.net,blacklist
terrarealtime2.blogspot.com,bufale.net,blacklist
ununiverso.altervista.org,bufale.net,blacklist
www.ununiverso.it,bufale.net,blacklist
veritanwo.altervista.org,bufale.net,blacklist
younetspiegalevele.altervista.org,bufale.net,blacklist
wwwblogdicristian.blogspot.it,bufale.net,blacklist
sulatestagiannilannes.blogspot.com,bufale.net,blacklist
www.alleanzadellasalute.org,bufale.net,blacklist
www.alleanzadellasalute.info,bufale.net,blacklist
www.assis.it,bufale.net,blacklist
autismovaccini.org,bufale.net,blacklist
benesserefeed.it,bufale.net,blacklist
www.comilva.org,bufale.net,blacklist
www.effervescienza.com,bufale.net,blacklist
www.eurosalus.com,bufale.net,blacklist
www.informasalus.it,bufale.net,blacklist
lafucina.it,bufale.net,blacklist
www.laleva.org,bufale.net,blacklist
www.nuovamedicinagermanica.it,bufale.net,blacklist
mammainrete.blogspot.com,bufale.net,blacklist
www.medicinenon.it,bufale.net,blacklist
mednat.news,bufale.net,blacklist
www.vacciniinforma.com,bufale.net,blacklist
www.vivoinsalute.com,bufale.net,blacklist
vnews24.it,bufale.net,blacklist
www.attivo.tv,bufale.net,blacklist
www.kontrokultura.it,bufale.net,blacklist
www.conoscenzealconfine.it,bufale.net,blacklist
complottisti.info,bufale.net,blacklist
contro.tv,bufale.net,blacklist
disinformazione.it,bufale.net,blacklist
www.ecplanet.org,bufale.net,blacklist
www.filosofiaelogos.it,bufale.net,blacklist
www.hackthematrix.it,bufale.net,blacklist
www.ilnavigatorecurioso.it,bufale.net,blacklist
www.ilpuntosulmistero.it,bufale.net,blacklist
www.libreidee.org,bufale.net,blacklist
www.liberamenteservo.com,bufale.net,blacklist
www.veoh.com,bufale.net,blacklist
soundcloud.com,bufale.net,blacklist
loguardoconte.info,bufale.net,blacklist
www.luogocomune.net,bufale.net,blacklist
www.nibiru2012.it,bufale.net,blacklist
www.pandoratv.it,bufale.net,blacklist
www.tmcrew.org,bufale.net,blacklist
www.thetonicexpress.com,bufale.net,blacklist
toba60.com,bufale.net,blacklist
spazioinwind.libero.it,bufale.net,blacklist
www.ilcorrieredelmattino.it,bufale.net,blacklist
www.corrieredelcorsaro.it,bufale.net,blacklist
chiaveorgonica.altervista.org,bufale.net,blacklist
www.ilgiomale.it,bufale.net,blacklist
www.iovivoaroma.org,bufale.net,blacklist
www.lospecchio.com,bufale.net,blacklist
salute360gradi.altervista.org,bufale.net,blacklist
www.ilmattoquotidiano.it,bufale.net,blacklist
www.lagazzettadellasera.it,bufale.net,blacklist
www.info24ore.com,bufale.net,blacklist
www.webnews24h.it,bufale.net,blacklist
ansa.it,aequa-tech.com,whitelist
agi.it,aequa-tech.com,whitelist
salute.gov.it,aequa-tech.com,whitelist
www.iss.it,aequa-tech.com,whitelist
portale.fnomceo.it,aequa-tech.com,whitelist
www.cnr.it,aequa-tech.com,whitelist
archivio.almanacco.cnr.it,aequa-tech.com,whitelist
www.scienzainrete.it,aequa-tech.com,whitelist
www.airc.it,aequa-tech.com,whitelist
www.avis.it,aequa-tech.com,whitelist
fondazioneveronesi.it,aequa-tech.com,whitelist
galileonet.it,aequa-tech.com,whitelist
humanitasalute.it,aequa-tech.com,whitelist
paginemediche.it,aequa-tech.com,whitelist
simg.it,aequa-tech.com,whitelist
marionegri.it,aequa-tech.com,whitelist
gambe.org,aequa-tech.com,whitelist
med4.care,aequa-tech.com,whitelist
medicalfacts.it,aequa-tech.com,whitelist
dottoremaeveroche.it,aequa-tech.com,whitelist
wwe.aifa.gov.it,aequa-tech.com,whitelist
www.openaire.eu,aequa-tech.com,whitelist
www.sciencedaily.com,aequa-tech.com,whitelist
voxnews.info,aequa-tech.com,blacklist
www.vox.com,aequa-tech.com,blacklist
