domain,partOf,source
celebtricity.com,blacklist,wikipedia
20minutenews.com,blacklist,wikipedia
notrealnews.net,blacklist,wikipedia
breaking13news.com,blacklist,wikipedia
descobrindoasverdades.blogspot.com,blacklist,wikipedia
vancouvertimes.org,blacklist,wikipedia
stgeorgegazette.com,blacklist,wikipedia
clexit.net,blacklist,wikipedia
liverpooldigest.co.uk,blacklist,wikipedia
shrturl.co,blacklist,wikipedia
actualite.co,blacklist,wikipedia
abcnews1.us,blacklist,wikipedia
mericaland.com,blacklist,wikipedia
celebritiesdeaths.com,blacklist,wikipedia
conservative101.com,blacklist,wikipedia
routers.news,blacklist,wikipedia
hoggwatch.com,blacklist,wikipedia
channel17news.com,blacklist,wikipedia
klimatupplysningen.se,blacklist,wikipedia
newsupdatessa.site,blacklist,wikipedia
channel63news.com,blacklist,wikipedia
now8news.com,blacklist,wikipedia
redice.tv,blacklist,wikipedia
voxnews.info,blacklist,wikipedia
climategate.nl,blacklist,wikipedia
dailyheadliner.com,blacklist,wikipedia
mbynews.com,blacklist,wikipedia
oreillypost.com,blacklist,wikipedia
newjournal.us,blacklist,wikipedia
usatoday.com.co,blacklist,wikipedia
politicsvision.com,blacklist,wikipedia
getintoknowledge.com,blacklist,wikipedia
channel34news.com,blacklist,wikipedia
thepedogate.com,blacklist,wikipedia
sunrepublican.com,blacklist,wikipedia
clonezone.link,blacklist,wikipedia
wtoe5news.com,blacklist,wikipedia
abc14news.com,blacklist,wikipedia
business2community.com,blacklist,wikipedia
ilovequilting.pro,blacklist,wikipedia
paulhorner.org,blacklist,wikipedia
africannewupsdate.com,blacklist,wikipedia
mrnewswatch.com,blacklist,wikipedia
drudgereport.com.co,blacklist,wikipedia
notizzia.com,blacklist,wikipedia
jigyasaonline.org,blacklist,wikipedia
ajuanews.com,blacklist,wikipedia
areyousleep.com,blacklist,wikipedia
channel45news.com,blacklist,wikipedia
nachrichten365.com,blacklist,wikipedia
viralspeech.com,blacklist,wikipedia
fakeshare.com,blacklist,wikipedia
klimarealisme.dk,blacklist,wikipedia
12minutos.com,blacklist,wikipedia
everythingclimate.com,blacklist,wikipedia
tmzbusiness.com,blacklist,wikipedia
ky12news.com,blacklist,wikipedia
news4local.com,blacklist,wikipedia
battypost.com,blacklist,wikipedia
kspm33.com,blacklist,wikipedia
channel68news.com,blacklist,wikipedia
tvtnews.com,blacklist,wikipedia
channel65news.com,blacklist,wikipedia
albertatimes.com,blacklist,wikipedia
countylocalnews.com,blacklist,wikipedia
trunews.com,blacklist,wikipedia
nationalreview.biz,blacklist,wikipedia
isissingles.com,blacklist,wikipedia
