domain,part_of,provenance
alleanzadellasalute.org,blacklist,bufale.net
rinascimentoitalia.it,blacklist,bufale.net
liberamenteservo.com,blacklist,bufale.net
sulatestagiannilannes.blogspot.it,blacklist,butac.net
centrometeoitaliano.it,blacklist,butac.net
thetonicexpress.com,blacklist,bufale.net
lercio.it,blacklist,butac.net
ilgiornaledivicenza.it,testate,fieg
pandoratv.it,blacklist,bufale.net
altroconsumo.it,testate,fieg
eurosalus.com,blacklist,bufale.net
pianetablunews.it,blacklist,bufale.net
tankerenemy.com,blacklist,butac.net
accademiadellaliberta.blogspot.com,blacklist,bufale.net
wwe.aifa.gov.it,whitelist,aequa-tech.com
signoraggio.it,blacklist,butac.net
musicaeanima.com,blacklist,bufale.net
notizie.tiscali.it,testate,fieg
tm-online.it,testate,fieg
tribunatreviso.it,testate,fieg
lanuovaferrara.it,testate,fieg
libreidee.org,blacklist,bufale.net
contro.tv,blacklist,bufale.net
ununiverso.it,blacklist,bufale.net
lagazzettadellasera.it,blacklist,bufale.net
siamonapoletani.org,blacklist,bufale.net
gambe.org,whitelist,aequa-tech.com
madreterra.myblog.it,blacklist,bufale.net
giornaledibrescia.it,testate,fieg
bitchute.com,blacklist,bufale.net
albainternazionale.blogspot.it,blacklist,butac.net
tuttiicriminidegliimmigrati.com,blacklist,butac.net
sitoaurora.wordpress.com,blacklist,bufale.net
videoenotizie.it,blacklist,bufale.net
ilnuovomondodanielereale.blogspot.it,blacklist,bufale.net
corrieredelcorsaro.it,blacklist,bufale.net
terrarealtime.blogspot.com,blacklist,bufale.net
kontrokultura.it,blacklist,bufale.net
worldnotix.net,blacklist,butac.net
informaltv.it,blacklist,bufale.net
salute360gradi.altervista.org,blacklist,bufale.net
mondourania.com,testate,fieg
editorialedomani.it,testate,fieg
corrieredirieti.it,testate,fieg
compressamente.blogspot.it,blacklist,bufale.net
viaggialowcost.altervista.org,blacklist,butac.net
oggi.it,testate,fieg
neovitruvian.com,blacklist,bufale.net
lasicilia.it,testate,fieg
mediaradius.it,testate,fieg
fascinazione.info,blacklist,butac.net
sulatestagiannilannes.blogspot.com,blacklist,bufale.net
segnidalcielo.it,blacklist,butac.net
assis.it,blacklist,bufale.net
openaire.eu,whitelist,aequa-tech.com
dailymotion.com,blacklist,bufale.net
alleanzadellasalute.info,blacklist,bufale.net
telepiu.net,testate,fieg
comilva.org,blacklist,bufale.net
lastampa.it,testate,fieg
sciencedaily.com,whitelist,aequa-tech.com
scienzainrete.it,whitelist,aequa-tech.com
living.corriere.it,testate,fieg
nogeoingegneria.com,blacklist,bufale.net
informatitalia.blogspot.it,blacklist,butac.net
gds.it,testate,fieg
notiziespericolate.com,blacklist,butac.net
edidomus.it,testate,fieg
lasaluteconlanima.it,testate,fieg
informarexresistere.fr,blacklist,butac.net
nuovamedicinagermanica.it,blacklist,bufale.net
summit.news,blacklist,bufale.net
corrieredellosport.it,testate,fieg
ilfattoquotidaino.it,blacklist,butac.net
ecologiasociale.info,blacklist,bufale.net
dottoremaeveroche.it,whitelist,aequa-tech.com
pianetax.wordpress.com,blacklist,bufale.net
themapreport.com,testate,fieg
essere-informati.it,blacklist,butac.net
presadicoscienza.altervista.org,blacklist,bufale.net
fondazioneveronesi.it,whitelist,aequa-tech.com
nocensura.com,blacklist,butac.net
irresponsabile.com,blacklist,butac.net
zerohedge.com,blacklist,bufale.net
lescienze.it,testate,fieg
laleva.org,blacklist,bufale.net
cnr.it,whitelist,aequa-tech.com
lagazzettadelmezzogiorno.it,testate,fieg
agi.it,whitelist,aequa-tech.com
newscronaca.it,blacklist,butac.net
fanpage.it,testate_online,aequa-tech.com
aidaa-animaliambiente.blogspot.it,blacklist,butac.net
spazioinwind.libero.it,blacklist,bufale.net
sadefenza.blogspot.com,blacklist,butac.net
libereta.it,testate,fieg
accademiadellaliberta.blogspot.it,blacklist,bufale.net
vnews24.it,blacklist,butac.net
aurorasito.wordpress.com,blacklist,bufale.net
greenandblue.it,testate,fieg
liberogiornale.com,blacklist,butac.net
appunti2008.blogspot.it,blacklist,bufale.net
igienistamentale.com,blacklist,bufale.net
sapereeundovere.com,blacklist,butac.net
veritanwo.altervista.org,blacklist,bufale.net
direttanews24.com,blacklist,butac.net
lanozione.com,blacklist,bufale.net
lastella.altervista.org,blacklist,butac.net
